AssignmentId,AssignmentStatus,HITId,WorkerId,Answers
2I6BDPGFL6VC4ID4H94WLOV1UU44J0,Submitted,2HXK0COK2JE11T3FAVCRZ6OZOH4SL5,A3F9I2JW1U4S9B,1,"cute
      "
2RQ5PQJQ9OPL0JQ2K8IXJ8KCQMWY07,Submitted,20EKUDD8XMB35PNUQXXUWO6TIJZODO,A3F9I2JW1U4S9B,1,"pretty elegant summery
      "
24VK4F0OHOVRGQWSAATLC2HEEJM23Q,Submitted,207PSI2KYEPL7BL0A7D6ZJ3OOMUSM7,A3F9I2JW1U4S9B,1,"fashionable sleek intricate
      "
2B0N46UXFCD4KJQ9J94SQTKIPQ4USS,Submitted,2ACHYW2GTP9RPT60M8S6CYSOTC4SN7,A3F9I2JW1U4S9B,1,"sexy alluring flashy
      "
2L2T2D5NQYN5UP4V92WT1MNCYLN95F,Submitted,2UJX3V0FK0COZOX9R8YPNK9L51AGNB,A3F9I2JW1U4S9B,1,
223RI8IUB2YUOUXCIFCB6L0FD6L6IB,Submitted,2LWGDHDM25L8XV1UMS8E26OEIV0OEH,A3F9I2JW1U4S9B,1,"grainy female fashionable
      "
26NOX7H57DZK41SZ424HGM25NVU0A0,Submitted,2ZB3HVWAVKI6H9XLSNY2299QVBFGOQ,A3F9I2JW1U4S9B,1,"Beautiful Elegant Glamorous
      "
2WBUNU8LZ6R7F2JMZU48M3VE9J44KZ,Submitted,2F4NCWYB49F97E6CNNSJRNSTJM9SOM,A3F9I2JW1U4S9B,1,"tall thin attractive
      "
22HW1INMHGYQJ5HI0XXBIMFFQLA6JN,Submitted,23SZHHRRLFQ0391QH3SKKO9EUWFOFZ,A3F9I2JW1U4S9B,1,"beautiful elegant fancy 
      "
27VYOCCF0CP5ZJ3O899I0YG4R9IUTH,Submitted,2FJTHV8ER9Y889YDCLJM8KFH67SQ30,A3F9I2JW1U4S9B,1,"brunette slender fashionable
      "